epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,283.841,2.31148,5.40374,0.01181,0.00856,0.07017,0.02307,0.01581,2.34134,5.56146,0.00928,0.000236413,0.000236413,0.000236413
2,542.642,2.0954,4.87098,0.00981,0.85912,0.01973,0.03919,0.02594,2.26172,5.06206,0.00874,0.00012019,0.00012019,0.00012019
