left,right,distance,same_patient_group
disease_001816_3be1bf19,disease_011095_93929c49,0,True
disease_001817_34c04c94,disease_011096_5fa37396,0,True
disease_001818_f7288bda,disease_000056_d6171752,0,True
disease_001819_4240f505,disease_011097_0785c4c7,0,True
disease_001820_df72e37c,disease_011098_78a220a8,0,True
disease_001821_3189c3c4,disease_000057_4b4c6122,0,True
disease_001822_2c13bf90,disease_001823_d0cff7bb,0,True
disease_001822_2c13bf90,disease_001824_d9c6f1a6,0,True
disease_001823_d0cff7bb,disease_001824_d9c6f1a6,0,True
disease_001825_a75e24e8,disease_011099_c38f7d85,0,True
disease_001826_66dc4945,disease_000058_830d32b9,0,True
disease_001827_0aa85b14,disease_001828_8030f628,0,True
disease_001827_0aa85b14,disease_001829_de3845bd,2,True
disease_001828_8030f628,disease_001829_de3845bd,2,True
disease_001830_57d0420a,disease_011106_37727658,0,True
disease_001831_c020d13d,disease_011107_6dabe598,0,True
disease_001832_fefbba0a,disease_001833_39784b08,0,True
disease_001832_fefbba0a,disease_001834_db01cac7,0,True
disease_001833_39784b08,disease_001834_db01cac7,0,True
disease_001835_8c1363f9,disease_000059_95cd4056,0,True
disease_001836_d69ca960,disease_000060_0bd740e9,0,True
disease_001837_634ac5b0,disease_000061_035b016b,0,True
disease_001838_0499c956,disease_001839_b5dec667,0,True
disease_001838_0499c956,disease_001840_5f928da8,0,True
disease_001839_b5dec667,disease_001840_5f928da8,0,True
disease_001841_995bc572,disease_001842_2cdc2026,2,True
disease_001841_995bc572,disease_001843_e77465fb,0,True
disease_001842_2cdc2026,disease_001843_e77465fb,2,True
disease_001844_a9a95e90,disease_011110_0a6b7013,0,True
disease_001845_ecfc8dcc,disease_011111_e1735266,0,True
disease_001846_59ee31ee,disease_011112_353d109e,0,True
disease_001847_ff73b7f2,disease_001848_ee462bb5,0,True
disease_001847_ff73b7f2,disease_001849_7e4a077b,0,True
disease_001848_ee462bb5,disease_001849_7e4a077b,0,True
disease_001850_479c2871,disease_000062_2dd25ab5,0,True
disease_001851_b0f4324e,disease_001852_04c21613,0,True
disease_001851_b0f4324e,disease_001853_d4961a2f,2,True
disease_001852_04c21613,disease_001853_d4961a2f,2,True
disease_001854_10e46494,disease_001855_25ba8648,0,True
disease_001854_10e46494,disease_001856_f3777771,0,True
disease_001855_25ba8648,disease_001856_f3777771,0,True
